종목코드,종목명,상장일,분류체계,운용사,수익률(최근 1년),기초지수,추적오차,순자산총액,괴리율,변동성,복제방법,총보수,과세유형
"466400","1Q 25-08 회사채(A+이상)액티브","2023/09/19","채권-회사채-단기","하나자산운용","4.52","KIS 2025-08만기형 크레딧 A+이상 지수(총수익)","0.11","111916276404","0.03","매우낮음","실물(액티브)","0.100000","배당소득세(보유기간과세)"
"491610","1Q CD금리액티브(합성)","2024/09/24","기타","하나자산운용","0.00","KIS 하나 CD금리 총수익지수","0.05","316206006696","0.02","매우낮음","합성(액티브)","0.020000","배당소득세(보유기간과세)"
"451060","1Q K200액티브","2023/01/31","주식-시장대표","하나자산운용","-3.66","코스피 200","0.77","99754348820","-0.01","높음","실물(액티브)","0.180000","배당소득세(보유기간과세)"
"463290","1Q 단기금융채액티브","2023/08/03","채권-혼합-단기","하나자산운용","4.01","MK 머니마켓 지수(총수익)","0.05","252717462257","0.00","매우낮음","실물(액티브)","0.080000","배당소득세(보유기간과세)"
"479080","1Q 머니마켓액티브","2024/04/02","채권-혼합-단기","하나자산운용","0.00","KIS-하나 MMF 지수(총수익)","0.06","308255065986","-0.01","매우낮음","실물(액티브)","0.050000","배당소득세(보유기간과세)"
"472350","1Q 차이나H(H)","2023/12/12","주식-시장대표","하나자산운용","29.57","Hang Seng China H","1.19","15526119870","-0.10","매우높음","실물(패시브)","0.110000","배당소득세(보유기간과세)"
"495330","1Q 코리아밸류업","2024/11/04","주식-시장대표","하나자산운용","0.00","코리아 밸류업 지수","0.11","11340846113","-0.38","보통","실물(패시브)","0.020000","비과세"
"492500","1Q 현대차그룹채권(A+이상)&국고통안","2024/10/02","채권-혼합-단기","하나자산운용","0.00","KIS 하나 현대차그룹채권(A+이상)&국고통안 총수익지수","0.40","124415407781","0.02","매우낮음","실물(패시브)","0.100000","배당소득세(보유기간과세)"
"473440","ACE 11월만기자동연장회사채AA-이상액티브","2023/12/19","채권-회사채-단기","한국투자신탁운용","0.00","KIS 11월 만기자동연장회사채(AA-이상) 총수익지수","0.08","93789176556","-0.01","매우낮음","실물(액티브)","0.050000","배당소득세(보유기간과세)"
"105190","ACE 200","2008/09/25","주식-시장대표","한국투자신탁운용","-4.86","코스피 200","0.67","370401309838","0.06","높음","실물(패시브)","0.090000","비과세"
"332500","ACE 200TR","2019/08/28","주식-시장대표","한국투자신탁운용","-3.00","코스피 200 TR","0.20","34132429349","0.13","높음","실물(패시브)","0.030000","배당소득세(보유기간과세)"
"461260","ACE 25-06 회사채(AA-이상)액티브","2023/06/20","채권-회사채-단기","한국투자신탁운용","4.18","KIS 크레딧 2506만기형(AA-이상)지수(총수익지수)","0.07","128561430169","-0.07","매우낮음","실물(액티브)","0.050000","배당소득세(보유기간과세)"
"461270","ACE 26-06 회사채(AA-이상)액티브","2023/06/20","채권-회사채-단기","한국투자신탁운용","5.33","KIS 크레딧 2606만기형(AA-이상)지수(총수익지수)","0.14","148863006278","0.01","매우낮음","실물(액티브)","0.050000","배당소득세(보유기간과세)"
"475260","ACE 2월만기자동연장회사채AA-이상액티브","2024/01/23","채권-회사채-단기","한국투자신탁운용","0.00","KAP 2월 만기자동연장회사채(AA-이상) 총수익지수","0.05","120288350260","0.00","매우낮음","실물(액티브)","0.050000","배당소득세(보유기간과세)"
"385600","ACE 2차전지&친환경차액티브","2021/05/25","주식-전략-전략테마","한국투자신탁운용","-43.06","FnGuide 친환경 자동차 밸류체인 지수","17.82","10584736553","0.33","매우높음","실물(액티브)","0.290000","배당소득세(보유기간과세)"
"475270","ACE 5월만기자동연장회사채AA-이상액티브","2024/01/23","채권-회사채-단기","한국투자신탁운용","0.00","KIS 5월 만기자동연장회사채(AA-이상) 총수익지수","0.13","45264844391","-0.03","매우낮음","실물(액티브)","0.050000","배당소득세(보유기간과세)"
"475280","ACE 8월만기자동연장회사채AA-이상액티브","2024/01/23","채권-회사채-단기","한국투자신탁운용","0.00","KAP 8월 만기자동연장회사채(AA-이상) 총수익지수","0.08","78968680827","0.00","매우낮음","실물(액티브)","0.050000","배당소득세(보유기간과세)"
"469150","ACE AI반도체포커스","2023/10/17","주식-업종섹터-업종테마","한국투자신탁운용","7.67","FnGuide AI 반도체 포커스 지수(시장가격)","0.33","51327466535","-0.15","매우높음","실물(패시브)","0.300000","비과세"
"487340","ACE CD금리&초단기채권액티브","2024/07/09","채권-회사채-단기","한국투자신탁운용","0.00","MK-KAP CD 금리 & 초단기 채권 총수익 지수","0.04","233270586233","0.01","매우낮음","실물(액티브)","0.050000","배당소득세(보유기간과세)"
"385590","ACE ESG액티브","2021/05/25","주식-전략-전략테마","한국투자신탁운용","-3.86","MSCI Korea Country ESG Leaders Custom Capped Price return Index","5.41","17723664254","-0.47","높음","실물(액티브)","0.500000","배당소득세(보유기간과세)"
"380340","ACE Fn5G플러스","2021/04/02","주식-업종섹터-업종테마","한국투자신탁운용","-9.79","FnGuide 5G플러스 지수 (시장가격)","0.24","5248304944","-0.48","매우높음","실물(패시브)","0.350000","비과세"
"226380","ACE Fn성장소비주도주","2015/08/19","주식-전략-전략테마","한국투자신탁운용","-4.05","FnGuide 성장소비주도 지수","0.29","5111433532","0.01","보통","실물(패시브)","0.500000","비과세"
"414270","ACE G2전기차&자율주행액티브","2022/02/15","주식-전략-전략테마","한국투자신탁운용","47.19","FactSet US-China Electric&Autonomous Vehicle Price Return Index","15.87","68200353583","-0.11","매우높음","실물(액티브)","0.290000","배당소득세(보유기간과세)"
"475050","ACE KPOP포커스","2024/01/30","주식-업종섹터-업종테마","한국투자신탁운용","0.00","iSelect K-POP 포커스지수(시장가격)","0.08","29198726830","-0.06","매우높음","실물(패시브)","0.300000","비과세"
"411060","ACE KRX금현물","2021/12/15","원자재-금속-금","한국투자신탁운용","44.03","KRX 금현물지수","0.06","590911547190","0.40","보통","실물(패시브)","0.500000","배당소득세(보유기간과세)"
"225130","ACE 골드선물 레버리지(합성 H)","2015/07/28","원자재-금속-금","한국투자신탁운용","44.48","S&P GSCI GOLD Index Excess Return","0.35","7396804738","-0.41","매우높음","합성(패시브)","0.490000","배당소득세(보유기간과세)"
"483340","ACE 구글밸류체인액티브","2024/06/11","주식-업종섹터-업종테마","한국투자신탁운용","0.00","KEDI 글로벌 AI 클라우드 지수","9.41","59564221752","-0.09","매우높음","실물(액티브)","0.450000","배당소득세(보유기간과세)"
"365780","ACE 국고채10년","2020/10/15","채권-국공채-장기","한국투자신탁운용","3.50","KIS 10년 국고채 지수 (총수익)","0.16","204505576670","0.01","매우낮음","실물(패시브)","0.020000","배당소득세(보유기간과세)"
"114460","ACE 국고채3년","2009/07/31","채권-국공채-중기","한국투자신탁운용","1.07","KTB INDEX(시장가격)","0.17","18600598135","-0.01","매우낮음","실물(패시브)","0.150000","배당소득세(보유기간과세)"
"494340","ACE 글로벌AI맞춤형반도체","2024/10/22","주식-업종섹터-업종테마","한국투자신탁운용","0.00","Solactive AI Custom Semiconductor Index(PR)","0.23","10313335364","0.53","매우높음","실물(패시브)","0.450000","배당소득세(보유기간과세)"
"411050","ACE 글로벌메타버스테크액티브","2021/12/22","주식-업종섹터-업종테마","한국투자신탁운용","55.16","Bloomberg Global Digital Media & Tech Select Price Return Index","11.94","20844630097","0.04","매우높음","실물(액티브)","0.500000","배당소득세(보유기간과세)"
"446770","ACE 글로벌반도체TOP4 Plus SOLACTIVE","2022/11/15","주식-업종섹터-업종테마","한국투자신탁운용","60.07","Solactive Global Semiconductor TOP4 Plus Price Return Index","1.97","389923949882","-0.62","매우높음","실물(패시브)","0.450000","배당소득세(보유기간과세)"
