Player,Pos,3P,2P,TRB,AST,STL,BLK
Steven Adams\adamsst01,C,0,189,514,111,54,38
Bam Adebayo\adebaba01,C,2,454,573,346,75,66
LaMarcus Aldridge\aldrila01,C,31,109,118,49,11,29
LaMarcus Aldridge\aldrila01,C,27,88,94,36,8,18
LaMarcus Aldridge\aldrila01,C,4,21,24,13,3,11
Ty-Shon Alexander\alexaty01,SG,2,1,10,6,0,1
Nickeil Alexander-Walker\alexani01,SG,76,116,144,102,47,22
Grayson Allen\allengr01,SG,107,66,160,108,46,8
Jarrett Allen\allenja01,C,6,292,631,106,32,90
Jarrett Allen\allenja01,C,0,44,125,20,7,19
Jarrett Allen\allenja01,C,6,248,506,86,25,71
Deandre Ayton\aytonde01,C,4,426,727,99,41,81
Udoka Azubuike\azubuud01,C,0,4,13,0,1,4
Dwayne Bacon\bacondw01,SG,59,233,224,93,45,5
Mo Bamba\bambamo01,C,38,104,265,35,14,58
Desmond Bane\banede01,SG,117,117,210,118,41,16
RJ Barrett\barrerj01,SG,124,343,414,217,53,20
Aron Baynes\baynear01,C,27,107,273,47,17,23
Bradley Beal\bealbr01,SG,130,540,283,265,69,22
Malik Beasley\beaslma01,SG,128,136,162,88,30,7
Jordan Bell\belljo01,C,0,7,24,7,3,5
Jordan Bell\belljo01,C,0,7,19,5,3,3
Jordan Bell\belljo01,C,0,0,5,2,0,2
Khem Birch\birchkh01,C,13,176,387,89,48,50
Khem Birch\birchkh01,C,4,90,243,53,32,28
Khem Birch\birchkh01,C,9,86,144,36,16,22
Goga Bitadze\bitadgo01,C,20,63,150,37,9,60
Bismack Biyombo\biyombi01,C,0,142,347,81,17,74
Eric Bledsoe\bledser01,SG,121,186,244,268,55,24
Bogdan Bogdanović\bogdabo01,SG,146,121,160,147,49,13
Marques Bolden\boldema01,C,0,1,6,0,2,2
Devin Booker\bookede01,SG,126,497,281,289,53,16
Chris Boucher\bouchch01,C,90,198,404,63,35,111
Avery Bradley\bradlav01,SG,33,31,57,46,21,3
Avery Bradley\bradlav01,SG,16,15,18,14,7,1
Avery Bradley\bradlav01,SG,17,16,39,32,14,2
Tony Bradley\bradlto01,C,0,131,239,37,15,30
Tony Bradley\bradlto01,C,0,51,104,17,6,13
Tony Bradley\bradlto01,C,0,80,135,20,9,17
Amida Brimah\brimaam01,C,0,5,8,1,0,5
Armoni Brooks\brookar01,SG,60,18,68,30,12,5
Charlie Brown\brownch02,SG,5,8,17,9,4,2
Jaylen Brown\brownja02,SG,163,375,347,195,72,32
Moses Brown\brownmo01,C,0,146,383,10,31,47
Sterling Brown\brownst02,SG,91,59,224,72,38,12
Elijah Bryant\bryanel01,SG,1,5,6,3,0,1
Thomas Bryant\bryanth01,C,9,50,61,15,4,8
Alec Burks\burksal01,SG,102,108,227,107,31,14
Kentavious Caldwell-Pope\caldwke01,SG,120,98,179,127,62,26
Clint Capela\capelca01,C,0,413,903,49,44,129
Vernon Carey Jr.\careyve01,C,1,17,27,2,1,5
Wendell Carter Jr.\cartewe01,C,15,215,443,104,35,42
Wendell Carter Jr.\cartewe01,C,8,121,250,69,18,24
Wendell Carter Jr.\cartewe01,C,7,94,193,35,17,18
Michael Carter-Williams\cartemi01,SG,15,90,139,129,25,17
Willie Cauley-Stein\caulewi01,C,1,114,236,35,21,43
Jordan Clarkson\clarkjo01,SG,208,249,274,168,61,10
Nicolas Claxton\claxtni01,C,1,89,166,28,23,40
Amir Coffey\coffeam01,SG,23,22,44,22,10,0
Pat Connaughton\connapa01,SG,101,67,332,81,49,23
DeMarcus Cousins\couside01,C,47,83,263,76,34,24
DeMarcus Cousins\couside01,C,39,40,191,60,21,18
DeMarcus Cousins\couside01,C,8,43,72,16,13,6
Jarrett Culver\culveja01,SG,13,56,104,24,17,9
Seth Curry\curryse01,SG,126,132,136,155,44,8
Nate Darling\darlina01,SG,2,0,1,1,0,1
Ed Davis\davised01,C,0,19,115,21,13,13
Terence Davis\daviste02,SG,98,97,154,83,44,14
Terence Davis\daviste02,SG,44,43,66,37,17,7
Terence Davis\daviste02,SG,54,54,88,46,27,7
Dewayne Dedmon\dedmode01,C,1,45,86,12,9,6
Hamidou Diallo\diallha01,SG,12,131,165,77,31,12
Gorgui Dieng\dienggo01,C,30,55,140,48,26,16
Gorgui Dieng\dienggo01,C,23,33,98,29,17,14
Gorgui Dieng\dienggo01,C,7,22,42,19,9,2
Spencer Dinwiddie\dinwisp01,SG,2,4,13,9,2,1
Donte DiVincenzo\divindo01,SG,131,122,380,203,72,15
Luguentz Dort\dortlu01,SG,113,134,189,88,45,19
Damyean Dotson\dotsoda01,SG,46,73,93,91,16,4
PJ Dozier\doziepj01,SG,47,101,182,92,31,22
Andre Drummond\drumman01,C,0,282,551,94,63,49
Andre Drummond\drumman01,C,0,180,337,64,40,29
Andre Drummond\drumman01,C,0,102,214,30,23,20
Anthony Edwards\edwaran01,SG,171,334,336,211,82,36
Carsen Edwards\edwarca01,SG,18,29,26,14,7,1
Wayne Ellington\ellinwa01,SG,116,33,85,67,18,9
Joel Embiid\embiijo01,C,58,403,539,145,50,69
Drew Eubanks\eubandr01,C,2,114,241,42,18,49
Dante Exum\exumda01,SG,2,8,17,13,4,2
Tacko Fall\fallta01,C,0,21,52,3,1,20
Derrick Favors\favorde01,C,0,155,376,44,32,68
Cristiano Felício\feliccr01,C,0,7,26,9,4,0
Terrance Ferguson\fergute01,SG,0,1,1,2,1,0
Bruno Fernando\fernabr01,C,0,18,78,10,4,3
Bryn Forbes\forbebr01,SG,154,96,112,45,24,1
Evan Fournier\fournev01,SG,44,33,53,49,20,10
Daniel Gafford\gaffoda01,C,0,94,128,12,15,41
Langston Galloway\gallola01,SG,36,30,42,26,8,0
Marc Gasol\gasolma01,C,50,38,215,109,26,58
Harry Giles\gilesha01,C,8,34,133,29,8,13
Shai Gilgeous-Alexander\gilgesh01,SG,71,216,166,207,27,23
Rudy Gobert\goberru01,C,0,391,960,89,40,190
Eric Gordon\gordoer01,SG,69,90,58,71,14,13
Javonte Green\greenja02,SG,7,32,52,11,18,2
Jeff Green\greenje02,C,103,158,263,108,36,27
Josh Green\greenjo02,SG,4,38,78,28,16,3
R.J. Hampton\hamptrj01,SG,22,89,129,73,16,8
Tim Hardaway Jr.\hardati02,SG,207,200,229,126,31,11
James Harden\hardeja01,SG,25,35,41,83,7,6
Montrezl Harrell\harremo01,C,0,375,428,73,46,49
Gary Harris\harriga01,SG,48,90,79,78,28,11
Gary Harris\harriga01,SG,24,45,47,32,17,4
