일자,종목코드,종목명,종가,관리여부,EPS,PER,BPS,PBR,주당배당금,배당수익률
2023-05-03,60310,3S ,2210,,33,66.97,829,2.67,0,0
2023-05-03,95570,AJ네트웍스 ,4690,,201,23.33,8076,0.58,270,5.76
2023-05-03,6840,AK홀딩스 ,19690,,,,41948,0.47,200,1.02
2023-05-03,54620,APS ,10550,,505,20.89,10864,0.97,0,0
2023-05-03,265520,AP시스템 ,20200,,5463,3.7,17980,1.12,270,1.34
2023-05-03,211270,AP위성 ,17530,,287,61.08,5997,2.92,70,0.4
2023-05-03,27410,BGF ,4220,,247,17.09,16528,0.26,110,2.61
2023-05-03,282330,BGF리테일 ,189000,,11203,16.87,55724,3.39,4100,2.17
2023-05-03,126600,BGF에코머티리얼즈 ,7770,,1108,7.01,6928,1.12,100,1.29
2023-05-03,138930,BNK금융지주 ,6660,,2404,2.77,30468,0.22,625,9.38
2023-05-03,1460,BYC ,452500,,42272,10.7,825735,0.55,3000,0.66
2023-05-03,1465,BYC우 ,150400,,,,,,3050,2.03
2023-05-03,13720,CBI ,286,,,,158,1.81,0,0
2023-05-03,1040,CJ ,90400,,6023,15.01,191537,0.47,2500,2.77
2023-05-03,79160,CJ CGV ,15170,,,,7886,1.92,0,0
2023-05-03,35760,CJ ENM ,78900,,,,171357,0.46,0,0
2023-05-03,311690,CJ 바이오사이언스 ,30850,,,,8447,3.65,0,0
2023-05-03,00104K,CJ4우(전환) ,74200,,,,,,2550,3.44
2023-05-03,120,CJ대한통운 ,77000,,8190,9.4,179031,0.43,500,0.65
2023-05-03,11150,CJ씨푸드 ,3335,,205,16.27,2107,1.58,0,0
2023-05-03,11155,CJ씨푸드1우 ,24350,,,,,,0,0
2023-05-03,1045,CJ우 ,51100,,,,,,2550,4.99
2023-05-03,97950,CJ제일제당 ,312000,,37188,8.39,459670,0.68,5500,1.76
2023-05-03,97955,CJ제일제당 우 ,146700,,,,,,5550,3.78
2023-05-03,51500,CJ프레시웨이 ,28700,,4136,6.94,25929,1.11,350,1.22
2023-05-03,58820,CMG제약 ,2120,,,,1332,1.59,0,0
2023-05-03,23460,CNH ,2120,,,,3404,0.62,20,0.94
2023-05-03,56730,CNT85 ,1658,,39,42.51,569,2.91,0,0
2023-05-03,65770,CS ,1464,,,,936,1.56,0,0
2023-05-03,83660,CSA 코스믹 ,1027,,,,79,13,0,0
2023-05-03,590,CS홀딩스 ,58700,,12700,4.62,242997,0.24,500,0.85
2023-05-03,12030,DB ,2005,,30,66.83,1492,1.34,0,0
2023-05-03,404950,DB금융스팩10호 ,2120,,,,,,0,0
2023-05-03,367340,DB금융스팩8호 ,2075,,,,,,0,0
2023-05-03,367360,DB금융스팩9호 ,2125,,,,,,0,0
2023-05-03,16610,DB금융투자 ,4030,,,,22203,0.18,170,4.22
2023-05-03,5830,DB손해보험 ,81000,,16373,4.95,89508,0.9,4600,5.68
2023-05-03,990,DB하이텍 ,64400,,12858,5.01,37784,1.7,1300,2.02
2023-05-03,995,DB하이텍1우 ,89100,,,,,,1350,1.52
2023-05-03,139130,DGB금융지주 ,6870,,2266,3.03,31812,0.22,650,9.46
2023-05-03,60900,DGP ,521,,,,174,2.99,0,0
2023-05-03,25440,DH오토웨어 ,614,,,,439,1.4,0,0
2023-05-03,1530,DI동일 ,20700,,2803,7.38,31182,0.66,250,1.21
2023-05-03,210,DL ,50000,,2679,18.66,194062,0.26,1000,2
2023-05-03,1880,DL건설 ,13560,,2445,5.55,45294,0.3,250,1.84
2023-05-03,215,DL우 ,29200,,,,,,1050,3.6
2023-05-03,375500,DL이앤씨 ,35250,,10130,3.48,114397,0.31,1000,2.84
2023-05-03,37550L,DL이앤씨2우(전환) ,25200,,,,,,1000,3.97
2023-05-03,37550K,DL이앤씨우 ,20900,,,,,,1050,5.02
2023-05-03,68790,DMS ,6570,,1053,6.24,12373,0.53,125,1.9
2023-05-03,7340,DN오토모티브 ,76600,,20987,3.65,101507,0.75,2500,3.26
2023-05-03,4840,DRB동일 ,4405,,80,55.06,18971,0.23,40,0.91
2023-05-03,241520,DSC인베스트먼트 ,3840,,573,6.7,3364,1.14,0,0
2023-05-03,65150,DSEN ,417,,,,262,1.59,0,0
2023-05-03,155660,DSR ,5170,,1502,3.44,12480,0.41,60,1.16
2023-05-03,69730,DSR제강 ,5280,,2009,2.63,12715,0.42,60,1.14
2023-05-03,180400,DXVX ,7000,,,,1184,5.91,0,0
2023-05-03,17940,E1 ,48600,,24536,1.98,249560,0.19,3600,7.41
2023-05-03,245620,EDGC ,1709,,,,381,4.49,0,0
2023-05-03,37370,EG ,25300,,,,7337,3.45,0,0
2023-05-03,50120,ES큐브 ,4300,,1918,2.24,8242,0.52,0,0
2023-05-03,383220,F&F ,146200,,11571,12.64,24159,6.05,1600,1.09
2023-05-03,7700,F&F홀딩스 ,22000,,3384,6.5,52493,0.42,350,1.59
2023-05-03,214270,FSN ,3375,,,,3566,0.95,0,0
2023-05-03,130500,GH신소재 ,3485,,337,10.34,5072,0.69,0,0
2023-05-03,114090,GKL ,19270,,,,6183,3.12,0,0
2023-05-03,78930,GS ,39550,,22634,1.75,133899,0.3,2500,6.32
2023-05-03,83450,GST ,25050,,5243,4.78,21654,1.16,300,1.2
