종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","2165","-35","-1.59","33","65.61",,,"829","2.61","0","0.00"
"095570","AJ네트웍스 ","4655","-35","-0.75","201","23.16","624","7.46","8076","0.58","270","5.80"
"006840","AK홀딩스 ","19630","-40","-0.20",,,,,"41948","0.47","200","1.02"
"054620","APS ","10680","-210","-1.93","505","21.15",,,"10864","0.98","0","0.00"
"265520","AP시스템 ","19960","-40","-0.20","5463","3.65","3534","5.65","17980","1.11","270","1.35"
"211270","AP위성 ","17190","-90","-0.52","287","59.90","386","44.55","5997","2.87","70","0.41"
"027410","BGF ","4210","0","0.00","247","17.04","705","5.97","16528","0.25","110","2.61"
"282330","BGF리테일 ","186800","-2000","-1.06","11203","16.67","12723","14.68","55724","3.35","4100","2.19"
"126600","BGF에코머티리얼즈 ","8570","800","10.30","1108","7.73",,,"6928","1.24","100","1.17"
"138930","BNK금융지주 ","6620","-10","-0.15","2404","2.75","2615","2.53","30468","0.22","625","9.44"
"001460","BYC ","452500","500","0.11","42272","10.70",,,"825735","0.55","3000","0.66"
"001465","BYC우 ","150300","0","0.00",,,,,,,"3050","2.03"
"013720","CBI ","278","-2","-0.71",,,,,"158","1.76","0","0.00"
"001040","CJ ","90300","-100","-0.11","6023","14.99","10832","8.34","191537","0.47","2500","2.77"
"079160","CJ CGV ","14950","-100","-0.66",,,,,"7886","1.90","0","0.00"
"035760","CJ ENM ","77500","-1600","-2.02",,,"4350","17.81","171357","0.45","0","0.00"
"311690","CJ 바이오사이언스 ","31950","850","2.73",,,,,"8447","3.78","0","0.00"
"00104K","CJ4우(전환) ","73700","-800","-1.07",,,,,,,"2550","3.46"
"000120","CJ대한통운 ","77100","-800","-1.03","8190","9.41","9502","8.11","179031","0.43","500","0.65"
"011150","CJ씨푸드 ","3375","45","1.35","205","16.46",,,"2107","1.60","0","0.00"
"011155","CJ씨푸드1우 ","24350","0","0.00",,,,,,,"0","0.00"
"001045","CJ우 ","51100","300","0.59",,,,,,,"2550","4.99"
"097950","CJ제일제당 ","311000","-2000","-0.64","37188","8.36","38900","7.99","459670","0.68","5500","1.77"
"097955","CJ제일제당 우 ","147700","800","0.54",,,,,,,"5550","3.76"
"051500","CJ프레시웨이 ","28350","-300","-1.05","4136","6.85","6533","4.34","25929","1.09","350","1.23"
"058820","CMG제약 ","2150","35","1.65",,,,,"1332","1.61","0","0.00"
"023460","CNH ","2115","-5","-0.24",,,,,"3404","0.62","20","0.95"
"056730","CNT85 ","1580","-30","-1.86","39","40.51",,,"569","2.78","0","0.00"
"065770","CS ","1479","3","0.20",,,,,"936","1.58","0","0.00"
"083660","CSA 코스믹 ","1005","0","0.00",,,,,"79","12.72","0","0.00"
"000590","CS홀딩스 ","58800","-300","-0.51","12700","4.63",,,"242997","0.24","500","0.85"
"012030","DB ","1830","-120","-6.15","30","61.00",,,"1492","1.23","0","0.00"
"404950","DB금융스팩10호 ","2120","0","0.00",,,,,,,"0","0.00"
"367340","DB금융스팩8호 ","2050","-15","-0.73",,,,,,,"0","0.00"
"367360","DB금융스팩9호 ","2125","0","0.00",,,,,,,"0","0.00"
"016610","DB금융투자 ","4005","-15","-0.37",,,,,"22203","0.18","170","4.24"
"005830","DB손해보험 ","80500","-900","-1.11","16373","4.92","14497","5.55","89508","0.90","4600","5.71"
"000990","DB하이텍 ","62400","-1600","-2.50","12858","4.85","7531","8.29","37784","1.65","1300","2.08"
"000995","DB하이텍1우 ","86000","-2800","-3.15",,,,,,,"1350","1.57"
"139130","DGB금융지주 ","6830","-40","-0.58","2266","3.01","2745","2.49","31812","0.21","650","9.52"
"060900","DGP ","558","29","5.48",,,,,"174","3.21","0","0.00"
"025440","DH오토웨어 ","614","0","0.00",,,,,"439","1.40","0","0.00"
"001530","DI동일 ","20450","50","0.25","2803","7.30","1959","10.44","31182","0.66","250","1.22"
"000210","DL ","49200","-500","-1.01","2679","18.37","7908","6.22","194062","0.25","1000","2.03"
"001880","DL건설 ","13680","40","0.29","2445","5.60","3733","3.66","45294","0.30","250","1.83"
"000215","DL우 ","29200","200","0.69",,,,,,,"1050","3.60"
"375500","DL이앤씨 ","35350","250","0.71","10130","3.49","9005","3.93","114397","0.31","1000","2.83"
"37550L","DL이앤씨2우(전환) ","25150","-50","-0.20",,,,,,,"1000","3.98"
"37550K","DL이앤씨우 ","20750","-150","-0.72",,,,,,,"1050","5.06"
"068790","DMS ","6450","-50","-0.77","1053","6.13",,,"12373","0.52","125","1.94"
"007340","DN오토모티브 ","75500","-400","-0.53","20987","3.60",,,"101507","0.74","2500","3.31"
"004840","DRB동일 ","4435","10","0.23","80","55.44",,,"18971","0.23","40","0.90"
"241520","DSC인베스트먼트 ","3850","-10","-0.26","573","6.72",,,"3364","1.14","0","0.00"
"065150","DSEN ","414","-3","-0.72",,,,,"262","1.58","0","0.00"
"155660","DSR ","5150","-40","-0.77","1502","3.43",,,"12480","0.41","60","1.17"
"069730","DSR제강 ","5200","-40","-0.76","2009","2.59",,,"12715","0.41","60","1.15"
"180400","DXVX ","7090","70","1.00",,,,,"1184","5.99","0","0.00"
"017940","E1 ","48650","250","0.52","24536","1.98",,,"249560","0.19","3600","7.40"
"245620","EDGC ","1744","45","2.65",,,,,"381","4.58","0","0.00"
"037370","EG ","24850","-2000","-7.45",,,,,"7337","3.39","0","0.00"
"050120","ES큐브 ","4340","-60","-1.36","1918","2.26",,,"8242","0.53","0","0.00"
"383220","F&F ","146900","500","0.34","11571","12.70","14275","10.29","24159","6.08","1600","1.09"
"007700","F&F홀딩스 ","21800","250","1.16","3384","6.44",,,"52493","0.42","350","1.61"
"214270","FSN ","3270","-20","-0.61",,,,,"3566","0.92","0","0.00"
"130500","GH신소재 ","3475","-15","-0.43","337","10.31",,,"5072","0.69","0","0.00"
"114090","GKL ","18800","-200","-1.05",,,"1350","13.93","6183","3.04","0","0.00"
"078930","GS ","39100","-200","-0.51","22634","1.73","12984","3.01","133899","0.29","2500","6.39"
"083450","GST ","24350","-650","-2.60","5243","4.64",,,"21654","1.12","300","1.23"
"006360","GS건설 ","20250","150","0.75","3997","5.07","4938","4.10","56917","0.36","1300","6.42"
"001250","GS글로벌 ","3240","-25","-0.77","851","3.81",,,"4813","0.67","0","0.00"
"007070","GS리테일 ","26750","-50","-0.19","395","67.72","2308","11.59","39627","0.68","430","1.61"
"078935","GS우 ","34650","50","0.14",,,,,,,"2550","7.36"
"297890","HB솔루션 ","14040","-140","-0.99","2610","5.38","1717","8.17","8755","1.60","150","1.07"
"078150","HB테크놀러지 ","2385","-20","-0.83","358","6.66",,,"2744","0.87","20","0.84"
"012630","HDC ","6550","0","0.00",,,,,"44094","0.15","250","3.82"
"039570","HDC랩스 ","8250","90","1.10","538","15.33",,,"11339","0.73","450","5.45"
"089470","HDC현대EP ","4895","5","0.10","398","12.30",,,"10618","0.46","120","2.45"
"294870","HDC현대산업개발 ","12090","70","0.58","764","15.82",,,"43919","0.28","600","4.96"
"009540","HD한국조선해양 ","83900","100","0.12",,,"8853","9.48","137382","0.61","0","0.00"
"267250","HD현대 ","58500","-800","-1.35","19933","2.93","13849","4.22","105921","0.55","4600","7.86"
"267270","HD현대건설기계 ","71000","2000","2.90","6112","11.62","8203","8.66","80387","0.88","1750","2.46"
"322000","HD현대에너지솔루션 ","42300","450","1.08","5412","7.82","8347","5.07","34065","1.24","600","1.42"
"042670","HD현대인프라코어 ","10630","330","3.20","1163","9.14","1480","7.18","8273","1.28","240","2.26"
"267260","HD현대일렉트릭 ","52700","1100","2.13","4514","11.67","4875","10.81","22854","2.31","500","0.95"
"329180","HD현대중공업 ","109200","-100","-0.09",,,"6286","17.37","59566","1.83","0","0.00"
"097230","HJ중공업 ","3770","5","0.13",,,,,"4624","0.82","0","0.00"
"195940","HK이노엔 ","33150","550","1.69","1342","24.70","1919","17.27","41095","0.81","320","0.97"
"014790","HL D&I ","2530","0","0.00","300","8.43","822","3.08","11284","0.22","0","0.00"
"028300","HLB ","35850","1500","4.37",,,,,"5266","6.81","0","0.00"
"003580","HLB글로벌 ","5820","120","2.11",,,,,"1507","3.86","0","0.00"
"278650","HLB바이오스텝 ","4145","75","1.84",,,,,"968","4.28","0","0.00"
"067630","HLB생명과학 ","11140","300","2.77",,,,,"2314","4.81","0","0.00"
"024850","HLB이노베이션 ","4790","20","0.42",,,,,"370","12.95","0","0.00"
"047920","HLB제약 ","14960","570","3.96",,,,,"3083","4.85","0","0.00"
"115450","HLB테라퓨틱스 ","4920","125","2.61",,,,,"1793","2.74","0","0.00"
"204320","HL만도 ","44650","100","0.22","2096","21.30","5284","8.45","45998","0.97","500","1.12"
"060980","HL홀딩스 ","34100","100","0.29","314","108.60","8065","4.23","102608","0.33","2000","5.87"
"011200","HMM ","20100","110","0.55","20556","0.98","4746","4.23","42300","0.48","1200","5.97"
"403870","HPSP ","22600","-250","-1.09","904","25.00","1090","20.73","2407","9.39","150","0.66"
