일자,종목코드,종목명,관리여부,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률
2019/07/12,017250,인터엠,-,"2,690",-,-,"3,513",0.77,120,4.46
2019/07/12,000440,중앙에너비스,-,"6,850",958,7.15,"7,269",0.94,160,2.34
2019/07/12,001000,신라섬유,-,"2,100",7,300,587,3.58,0,0
2019/07/12,001540,안국약품,-,"10,550","1,154",9.14,"11,253",0.94,220,2.09
2019/07/12,001810,무림SP,-,"2,655",505,5.26,"9,212",0.29,35,1.32
2019/07/12,002230,피에스텍,-,"4,125",-,-,"7,283",0.57,75,1.82
2019/07/12,002680,한탑,-,"2,325",-,-,"2,135",1.09,0,0
2019/07/12,002800,신신제약,-,"6,880",191,36.02,"3,595",1.91,33,0.48
2019/07/12,003100,선광,-,"17,150","1,645",10.43,"45,898",0.37,400,2.33
2019/07/12,003310,대주산업,-,"1,495",48,31.15,"1,440",1.04,30,2.01
2019/07/12,004650,창해에탄올,-,"14,000",460,30.43,"11,519",1.22,600,4.29
2019/07/12,004780,대륙제관,-,"5,260",228,23.07,"6,517",0.81,80,1.52
2019/07/12,005160,동국산업,-,"2,965",204,14.53,"6,930",0.43,130,4.38
2019/07/12,005710,대원산업,-,"6,150","1,404",4.38,"13,736",0.45,125,2.03
2019/07/12,005860,한일사료,-,"1,900",9,211.11,"1,573",1.21,25,1.32
2019/07/12,005990,매일홀딩스,-,"13,000","1,930",6.74,"19,879",0.65,120,0.92
2019/07/12,006140,피제이전자,-,"4,785",473,10.12,"6,995",0.68,185,3.87
2019/07/12,006910,보성파워텍,-,"2,175",-,-,"1,710",1.27,0,0
2019/07/12,006920,모헨즈,-,"5,110",101,50.59,"2,011",2.54,0,0
2019/07/12,007330,푸른저축은행,-,"8,480","1,994",4.25,"16,417",0.52,550,6.49
2019/07/12,007370,진양제약,-,"3,845",83,46.33,"3,504",1.1,100,2.6
2019/07/12,008290,원풍물산,-,"4,245",-,-,636,6.67,0,0
2019/07/12,008370,원풍,-,"3,970",171,23.22,"6,208",0.64,150,3.78
2019/07/12,009300,삼아제약,-,"17,200","1,442",11.93,"25,259",0.68,250,1.45
2019/07/12,009780,엠에스씨,-,"6,650",608,10.94,"4,577",1.45,60,0.9
2019/07/12,010470,오리콤,-,"5,250",803,6.54,"6,809",0.77,220,4.19
2019/07/12,011040,경동제약,-,"8,830",222,39.77,"7,974",1.11,300,3.4
2019/07/12,011080,형지I&C,-,706,-,-,537,1.31,0,0
2019/07/12,011370,서한,-,"1,550",417,3.72,"2,957",0.52,40,2.58
2019/07/12,011560,세보엠이씨,-,"9,580","2,174",4.41,"15,287",0.63,300,3.13
2019/07/12,012620,원일특강,-,"9,130","1,526",5.98,"24,692",0.37,120,1.31
2019/07/12,013120,동원개발,-,"5,370","1,343",4,"7,745",0.69,185,3.45
2019/07/12,013720,청보산업,-,"2,530",16,158.12,"2,614",0.97,0,0
2019/07/12,013810,스페코,-,"3,310",-,-,"1,869",1.77,0,0
2019/07/12,013990,아가방컴퍼니,-,"3,515",-,-,"4,593",0.77,0,0
2019/07/12,014100,보령메디앙스,-,"8,410",275,30.58,"4,229",1.99,0,0
2019/07/12,014190,원익큐브,-,"2,340",-,-,"2,117",1.11,0,0
2019/07/12,014570,고려제약,-,"6,940",601,11.55,"5,709",1.22,100,1.44
2019/07/12,014940,오리엔탈정공,-,935,-,-,278,3.36,0,0
2019/07/12,015710,코콤,-,"7,640",836,9.14,"6,451",1.18,195,2.55
2019/07/12,017480,삼현철강,-,"4,360",468,9.32,"9,226",0.47,150,3.44
2019/07/12,017510,세명전기,-,"5,260",236,22.29,"4,538",1.16,80,1.52
2019/07/12,017890,한국알콜,-,"8,700","1,393",6.25,"13,614",0.64,50,0.57
2019/07/12,018120,진로발효,-,"30,000","1,869",16.05,"13,340",2.25,"1,200",4
2019/07/12,018290,지엠피,-,"10,600",276,38.41,"1,965",5.39,0,0
2019/07/12,018310,삼목에스폼,-,"11,750","2,389",4.92,"22,470",0.52,100,0.85
2019/07/12,019550,SBI인베스트먼트,-,761,16,47.56,514,1.48,0,0
2019/07/12,019770,서연탑메탈,-,"2,960",-,-,"5,878",0.5,40,1.35
2019/07/12,019990,에너토크,-,"4,385",137,32.01,"4,227",1.04,60,1.37
2019/07/12,020710,시공테크,-,"5,950",73,81.51,"4,712",1.26,20,0.34
2019/07/12,021080,에이티넘인베스트,-,"2,010",146,13.77,"1,570",1.28,50,2.49
2019/07/12,022220,정산애강,-,"2,275",145,15.69,"1,383",1.64,0,0
2019/07/12,023460,CNH,-,"1,490",20,74.5,"2,609",0.57,20,1.34
2019/07/12,023760,한국캐피탈,-,712,102,6.98,"1,520",0.47,20,2.81
2019/07/12,023900,풍국주정,-,"20,250",831,24.37,"10,184",1.99,200,0.99
2019/07/12,023910,대한약품,-,"35,050","4,753",7.37,"23,394",1.5,300,0.86
2019/07/12,024120,KB오토시스,-,"5,840","1,109",5.27,"8,236",0.71,280,4.79
2019/07/12,024740,한일단조,-,"1,600",-,-,"3,510",0.46,0,0
2019/07/12,024800,유성티엔에스,-,"3,025",501,6.04,"6,311",0.48,15,0.5
2019/07/12,024810,이화전기,-,246,-,-,315,0.78,0,0
2019/07/12,024830,세원물산,-,"6,820",696,9.8,"21,048",0.32,50,0.73
2019/07/12,024910,경창산업,-,"1,180",-,-,"3,984",0.3,10,0.85
2019/07/12,024940,PN풍년,-,"2,650",127,20.87,"3,311",0.8,25,0.94
2019/07/12,025320,시노펙스,-,"2,860",10,286,976,2.93,0,0
2019/07/12,025440,대성엘텍,-,849,-,-,436,1.95,0,0
2019/07/12,025550,한국선재,-,"2,720",282,9.65,"3,582",0.76,0,0
2019/07/12,025870,신라에스지,-,"5,120",-,-,"3,619",1.41,0,0
2019/07/12,025880,케이씨피드,-,"2,370",64,37.03,"3,535",0.67,25,1.05
2019/07/12,026150,특수건설,-,"5,530",66,83.79,"5,687",0.97,0,0
2019/07/12,026910,광진실업,-,"3,520",42,83.81,"4,549",0.77,25,0.71
2019/07/12,027360,아주IB투자,-,"1,135",107,10.61,"1,313",0.86,25,2.2
2019/07/12,027710,팜스토리,-,"1,085",-,-,"1,683",0.64,0,0
2019/07/12,027830,대성창투,-,"1,725",40,43.12,"1,254",1.38,0,0
2019/07/12,028080,휴맥스홀딩스,-,"3,770",-,-,"11,901",0.32,0,0
2019/07/12,030350,드래곤플라이,-,"4,830",-,-,"1,131",4.27,0,0
2019/07/12,032190,다우데이타,-,"9,020",863,10.45,"11,368",0.79,160,1.77
2019/07/12,032280,삼일,-,"2,330",166,14.04,"3,859",0.6,50,2.15
2019/07/12,032540,TJ미디어,-,"3,295",-,-,"5,594",0.59,0,0
2019/07/12,032620,유비케어,-,"5,960",121,49.26,"1,948",3.06,35,0.59
2019/07/12,032685,소프트센우,-,"24,550",-,-,-,-,0,0
2019/07/12,032750,삼진,-,"8,710",266,32.74,"10,788",0.81,100,1.15
2019/07/12,032850,비트컴퓨터,-,"4,645",-,-,"2,531",1.84,0,0
2019/07/12,032860,GMR 머티리얼즈,-,546,-,-,256,2.13,0,0
2019/07/12,032940,원익,-,"3,850",-,-,"3,736",1.03,0,0
2019/07/12,033050,제이엠아이,-,915,-,-,"1,309",0.7,0,0
2019/07/12,033100,제룡전기,-,"7,150",182,39.29,"3,192",2.24,50,0.7
2019/07/12,033160,엠케이전자,-,"8,300","1,177",7.05,"13,695",0.61,100,1.2
2019/07/12,033230,인성정보,-,"2,930",-,-,"2,087",1.4,0,0
2019/07/12,033320,제이씨현시스템,-,"5,120",501,10.22,"4,478",1.14,70,1.37
2019/07/12,033340,좋은사람들,-,"5,600",138,40.58,"2,908",1.93,0,0
2019/07/12,033500,동성화인텍,-,"8,830",-,-,"2,740",3.22,0,0
2019/07/12,033560,블루콤,-,"3,580",106,33.77,"9,186",0.39,0,0
2019/07/12,034810,해성산업,-,"10,850",77,140.91,"14,565",0.74,125,1.15
2019/07/12,034940,조아제약,-,"4,150",23,180.43,"1,906",2.18,0,0
2019/07/12,034950,한국기업평가,-,"65,700","3,630",18.1,"19,183",3.42,"2,360",3.59
2019/07/12,035080,인터파크홀딩스,-,"2,275",-,-,"5,193",0.44,50,2.2
2019/07/12,035460,기산텔레콤,-,"2,895",-,-,"1,994",1.45,0,0
2019/07/12,035610,솔본,-,"4,365",434,10.06,"5,074",0.86,0,0
2019/07/12,036000,예림당,-,"4,670",666,7.01,"9,851",0.47,0,0
2019/07/12,036010,아비코전자,-,"4,800","1,967",2.44,"8,278",0.58,150,3.13
2019/07/12,036090,위지트,-,"1,070",88,12.16,912,1.17,0,0
2019/07/12,036180,영인프런티어,-,"12,350",142,86.97,"1,611",7.67,0,0
2019/07/12,036190,금화피에스시,-,"33,400","6,615",5.05,"36,741",0.91,"1,300",3.89
2019/07/12,036200,유니셈,-,"4,700",763,6.16,"3,536",1.33,60,1.28
2019/07/12,036480,대성미생물,-,"17,550",834,21.04,"8,687",2.02,85,0.48
2019/07/12,036560,영풍정밀,-,"8,420",719,11.71,"18,079",0.47,250,2.97
2019/07/12,036670,KCI,-,"10,600",826,12.83,"4,927",2.15,180,1.7
2019/07/12,036800,나이스정보통신,-,"29,050","3,220",9.02,"20,385",1.43,420,1.45
2019/07/12,036890,진성티이씨,-,"8,040","1,086",7.4,"5,365",1.5,200,2.49
2019/07/12,037030,파워넷,-,"4,370",404,10.82,"3,950",1.11,0,0
2019/07/12,037230,한국팩키지,-,"2,300",71,32.39,"1,711",1.34,30,1.3
2019/07/12,037350,성도이엔지,-,"5,080","1,023",4.97,"12,506",0.41,100,1.97
2019/07/12,037370,EG,-,"10,050",-,-,"4,525",2.22,0,0
2019/07/12,037400,우리조명,-,"1,120",-,-,"2,826",0.4,0,0
2019/07/12,037440,희림,-,"4,350",308,14.12,"3,714",1.17,100,2.3
2019/07/12,037950,엘컴텍,-,"1,670",39,42.82,894,1.87,30,1.8
2019/07/12,038010,제일테크노스,-,"4,395",613,7.17,"8,242",0.53,100,2.28
2019/07/12,038060,루멘스,-,"2,035",-,-,"3,788",0.54,0,0
2019/07/12,038110,에코플라스틱,-,"1,490",-,-,"4,309",0.35,0,0
2019/07/12,039240,경남스틸,-,"1,865",215,8.67,"3,380",0.55,70,3.75
2019/07/12,039290,인포뱅크,-,"7,080",361,19.61,"6,079",1.16,50,0.71
2019/07/12,039340,한국경제TV,-,"5,540",645,8.59,"4,737",1.17,100,1.81
2019/07/12,039420,케이엘넷,-,"2,840",84,33.81,"1,461",1.94,30,1.06
2019/07/12,039440,에스티아이,-,"13,550","1,328",10.2,"9,558",1.42,250,1.85
2019/07/12,039740,한국정보공학,-,"3,570",-,-,"4,836",0.74,0,0
2019/07/12,039830,오로라,-,"13,450",577,23.31,"9,495",1.42,150,1.12
2019/07/12,039860,나노엔텍,-,"4,775",129,37.02,"1,337",3.57,0,0
2019/07/12,040160,누리텔레콤,-,"5,930","1,002",5.92,"5,055",1.17,50,0.84
2019/07/12,040300,YTN,-,"1,970",16,123.12,"4,479",0.44,20,1.02
2019/07/12,040420,정상제이엘에스,-,"7,420",239,31.05,"3,943",1.88,430,5.8
2019/07/12,040610,SG&G,-,"2,295",-,-,"7,246",0.32,0,0
2019/07/12,041020,인프라웨어,-,"1,410",-,-,998,1.41,0,0
2019/07/12,041190,우리기술투자,-,"3,570",129,27.67,779,4.58,10,0.28
2019/07/12,041440,에버다임,-,"5,760",568,10.14,"10,714",0.54,110,1.91
2019/07/12,041460,한국전자인증,-,"4,185",151,27.72,"1,628",2.57,46,1.1
2019/07/12,041920,메디아나,-,"7,310",378,19.34,"5,715",1.28,0,0
2019/07/12,041930,동아화성,-,"6,040",425,14.21,"6,217",0.97,50,0.83
2019/07/12,042370,비츠로테크,-,"5,340",401,13.32,"6,198",0.86,50,0.94
2019/07/12,042600,새로닉스,-,"4,485",602,7.45,"6,299",0.71,40,0.89
2019/07/12,043340,에쎈테크,-,"1,150",28,41.07,417,2.76,0,0
2019/07/12,043360,디지아이,-,"2,975",-,-,"5,269",0.56,0,0
2019/07/12,045340,토탈소프트,-,"2,950",327,9.02,"1,037",2.84,0,0
2019/07/12,045510,정원엔시스,-,"1,675",131,12.79,"1,195",1.4,0,0
2019/07/12,045660,에이텍,-,"9,100",745,12.21,"8,463",1.08,100,1.1
2019/07/12,046140,SBS콘텐츠허브,-,"6,150",385,15.97,"7,273",0.85,75,1.22
2019/07/12,046440,KG모빌리언스,-,"6,780",418,16.22,"7,146",0.95,200,2.95
2019/07/12,046970,우리로,-,"2,835",-,-,"1,384",2.05,0,0
2019/07/12,047080,한빛소프트,-,"3,575",-,-,501,7.14,0,0
2019/07/12,047560,이스트소프트,-,"8,590",171,50.23,"2,426",3.54,0,0
2019/07/12,047820,초록뱀,-,"1,410",-,-,838,1.68,0,0
2019/07/12,048430,유라테크,-,"5,800",391,14.83,"9,378",0.62,65,1.12
2019/07/12,048550,SM C&C,-,"1,535",-,-,"1,196",1.28,0,0
2019/07/12,048770,TPC,-,"4,825",316,15.27,"2,290",2.11,25,0.52
2019/07/12,048830,엔피케이,-,"2,115",-,-,"2,181",0.97,30,1.42
2019/07/12,048910,대원미디어,-,"7,770",169,45.98,"6,400",1.21,100,1.29
2019/07/12,049430,코메론,-,"7,580","1,380",5.49,"14,193",0.53,140,1.85
2019/07/12,049550,잉크테크,-,"4,285",-,-,"2,459",1.74,0,0
2019/07/12,049720,고려신용정보,-,"5,130",336,15.27,"1,340",3.83,220,4.29
2019/07/12,049960,쎌바이오텍,-,"19,800","2,583",7.67,"11,237",1.76,600,3.03
2019/07/12,050090,휘닉스소재,-,777,-,-,403,1.93,0,0
2019/07/12,050760,에스폴리텍,-,"4,315",96,44.95,"2,816",1.53,25,0.58
2019/07/12,050960,수산아이앤티,-,"6,760",462,14.63,"10,766",0.63,75,1.11
2019/07/12,051360,토비스,-,"7,030","1,234",5.7,"10,604",0.66,200,2.84
