N	종목명	현재가	전일비	등락률	액면가	시가총액	상장주식수	외국인비율	거래량	PER	ROE	토론실
1	삼성전자	61,600	상승 100	+0.16%	100	3,677,386	5,969,783	49.89	846,087	9.67	13.92	토론실
2	LG에너지솔루션	442,000	하락 1,000	-0.23%	500	1,034,280	234,000	3.86	11,537	140.85	10.68	토론실
3	SK하이닉스	97,800	상승 300	+0.31%	5,000	711,986	728,002	49.92	129,332	6.72	16.84	토론실
4	삼성바이오로직스	884,000	상승 9,000	+1.03%	2,500	629,178	71,174	10.77	2,587	123.43	8.21	토론실
5	삼성전자우	56,300	하락 100	-0.18%	100	463,285	822,887	71.97	50,981	8.84	N/A	토론실
6	NAVER	274,500	상승 1,000	+0.37%	100	450,315	164,049	53.26	125,787	33.37	106.72	토론실
7	LG화학	620,000	상승 11,000	+1.81%	5,000	437,673	70,592	47.72	30,480	15.91	18.47	토론실
8	현대차	197,000	상승 500	+0.25%	5,000	420,926	213,668	27.50	28,767	10.49	6.84	토론실
9	삼성SDI	592,000	상승 3,000	+0.51%	5,000	407,086	68,765	43.20	14,588	29.93	8.45	토론실
10	카카오	81,100	하락 600	-0.73%	100	360,853	444,948	29.06	345,762	14.61	17.10	토론실
11	기아	81,400	상승 100	+0.12%	5,000	329,966	405,363	36.40	72,861	6.93	14.69	토론실
12	셀트리온	191,500	상승 2,500	+1.32%	1,000	269,570	140,768	20.67	29,216	53.40	16.04	토론실
13	삼성물산	118,500	0	0.00%	100	221,461	186,887	16.42	3,841	16.85	5.40	토론실
14	현대모비스	229,000	0	0.00%	5,000	216,572	94,573	34.51	4,412	9.55	6.87	토론실
15	POSCO홀딩스	234,000	상승 1,000	+0.43%	5,000	204,017	87,187	52.78	14,028	2.79	13.97	토론실
16	KB금융	48,600	상승 500	+1.04%	5,000	200,403	412,352	72.75	82,662	4.40	9.80	토론실
17	신한지주	35,750	상승 300	+0.85%	5,000	183,374	512,934	61.89	85,000	4.52	8.80	토론실
18	SK이노베이션	185,500	상승 1,000	+0.54%	5,000	171,524	92,466	25.59	6,945	11.79	1.91	토론실
19	SK	216,000	상승 500	+0.23%	200	160,163	74,149	22.16	5,572	5.27	10.19	토론실
20	LG전자	95,600	하락 400	-0.42%	5,000	156,447	163,648	26.59	53,089	13.72	6.32	토론실
21	카카오뱅크	32,400	하락 500	-1.52%	5,000	154,335	476,341	12.48	174,631	65.59	4.91	토론실
22	한국전력	21,850	상승 50	+0.23%	5,000	140,269	641,964	14.81	21,251	-1.24	-7.99	토론실
23	LG	81,200	상승 800	+1.00%	5,000	127,728	157,301	36.06	6,505	4.59	12.36	토론실
24	크래프톤	259,500	하락 3,500	-1.33%	100	127,342	49,072	28.97	5,502	21.35	17.86	토론실
25	HMM	25,400	상승 50	+0.20%	5,000	124,216	489,039	9.43	83,224	1.30	88.62	토론실
26	삼성생명	60,200	상승 600	+1.01%	500	120,400	200,000	13.26	6,457	18.49	4.01	토론실
27	LG생활건강	766,000	0	0.00%	5,000	119,635	15,618	37.93	1,073	19.41	16.65	토론실
28	두산에너빌리티	18,650	상승 50	+0.27%	5,000	119,044	638,308	10.01	97,947	27.96	10.67	토론실
29	SK텔레콤	53,400	상승 200	+0.38%	100	116,857	218,833	48.20	12,013	7.94	13.63	토론실
30	현대중공업	131,500	상승 500	+0.38%	5,000	116,737	88,773	5.76	5,647	-10.66	-14.87	토론실
31	KT&G	81,200	상승 500	+0.62%	5,000	111,482	137,292	39.92	12,809	11.52	10.74	토론실
32	하나금융지주	37,400	상승 200	+0.54%	5,000	110,668	295,903	72.31	36,292	3.13	10.86	토론실
33	포스코케미칼	136,000	상승 500	+0.37%	500	105,350	77,463	6.60	16,613	80.76	7.92	토론실
34	삼성전기	141,000	하락 500	-0.35%	5,000	105,318	74,694	25.77	18,555	11.23	14.29	토론실
35	삼성에스디에스	133,500	상승 1,000	+0.75%	500	103,299	77,378	13.27	4,984	15.83	8.80	토론실
36	KT	37,750	상승 150	+0.40%	5,000	98,570	261,112	45.57	21,276	6.73	9.36	토론실
37	삼성화재	205,000	상승 3,500	+1.74%	500	97,118	47,375	49.53	7,501	9.15	7.09	토론실
38	S-Oil	86,200	상승 400	+0.47%	2,500	97,046	112,583	82.47	42,899	5.28	21.76	토론실
39	SK바이오사이언스	126,000	상승 1,500	+1.20%	500	96,748	76,784	3.75	34,983	28.27	38.08	토론실
40	카카오페이	72,800	하락 1,000	-1.36%	500	96,481	132,529	43.73	85,603	-367.68	-2.45	토론실
41	대한항공	26,150	하락 250	-0.95%	5,000	96,290	368,221	13.08	474,663	7.84	11.60	토론실
42	고려아연	500,000	상승 19,000	+3.95%	5,000	94,350	18,870	20.28	12,998	12.50	11.07	토론실
43	우리금융지주	11,750	0	0.00%	5,000	85,547	728,061	39.90	26,192	3.09	10.59	토론실
44	엔씨소프트	387,500	상승 2,000	+0.52%	500	85,072	21,954	42.33	9,728	17.54	12.62	토론실
45	LG이노텍	353,000	상승 1,000	+0.28%	5,000	83,545	23,667	26.44	11,554	9.24	30.94	토론실
46	한화솔루션	42,750	상승 950	+2.27%	5,000	81,772	191,278	20.99	183,269	24.65	8.79	토론실
47	아모레퍼시픽	128,000	상승 500	+0.39%	500	74,871	58,493	25.59	7,610	50.24	4.20	토론실
48	하이브	174,000	상승 500	+0.29%	500	71,955	41,353	15.17	7,405	44.86	6.83	토론실
49	기업은행	9,340	상승 40	+0.43%	5,000	69,518	744,301	13.56	18,169	3.00	9.21	토론실
50	현대글로비스	179,000	상승 1,000	+0.56%	500	67,125	37,500	45.32	1,890	7.10	14.41	토론실
