N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,61600,상승 100,0.16%,100,3677386,5969783,49.89,846087,9.67,13.92,토론실
2,LG에너지솔루션,442000,하락 1000,-0.23%,500,1034280,234000,3.86,11537,140.85,10.68,토론실
3,SK하이닉스,97800,상승 300,0.31%,5000,711986,728002,49.92,129332,6.72,16.84,토론실
4,삼성바이오로직스,884000,상승 9000,1.03%,2500,629178,71174,10.77,2587,123.43,8.21,토론실
5,삼성전자우,56300,하락 100,-0.18%,100,463285,822887,71.97,50981,8.84,N/A,토론실
6,NAVER,274500,상승 1000,0.37%,100,450315,164049,53.26,125787,33.37,106.72,토론실
7,LG화학,620000,상승 11000,1.81%,5000,437673,70592,47.72,30480,15.91,18.47,토론실
8,현대차,197000,상승 500,0.25%,5000,420926,213668,27.5,28767,10.49,6.84,토론실
9,삼성SDI,592000,상승 3000,0.51%,5000,407086,68765,43.2,14588,29.93,8.45,토론실
10,카카오,81100,하락 600,-0.73%,100,360853,444948,29.06,345762,14.61,17.1,토론실
11,기아,81400,상승 100,0.12%,5000,329966,405363,36.4,72861,6.93,14.69,토론실
12,셀트리온,191500,상승 2500,1.32%,1000,269570,140768,20.67,29216,53.4,16.04,토론실
13,삼성물산,118500,0,0.00%,100,221461,186887,16.42,3841,16.85,5.4,토론실
14,현대모비스,229000,0,0.00%,5000,216572,94573,34.51,4412,9.55,6.87,토론실
15,POSCO홀딩스,234000,상승 1000,0.43%,5000,204017,87187,52.78,14028,2.79,13.97,토론실
16,KB금융,48600,상승 500,1.04%,5000,200403,412352,72.75,82662,4.4,9.8,토론실
17,신한지주,35750,상승 300,0.85%,5000,183374,512934,61.89,85000,4.52,8.8,토론실
18,SK이노베이션,185500,상승 1000,0.54%,5000,171524,92466,25.59,6945,11.79,1.91,토론실
19,SK,216000,상승 500,0.23%,200,160163,74149,22.16,5572,5.27,10.19,토론실
20,LG전자,95600,하락 400,-0.42%,5000,156447,163648,26.59,53089,13.72,6.32,토론실
21,카카오뱅크,32400,하락 500,-1.52%,5000,154335,476341,12.48,174631,65.59,4.91,토론실
22,한국전력,21850,상승 50,0.23%,5000,140269,641964,14.81,21251,-1.24,-7.99,토론실
23,LG,81200,상승 800,1.00%,5000,127728,157301,36.06,6505,4.59,12.36,토론실
24,크래프톤,259500,하락 3500,-1.33%,100,127342,49072,28.97,5502,21.35,17.86,토론실
25,HMM,25400,상승 50,0.20%,5000,124216,489039,9.43,83224,1.3,88.62,토론실
26,삼성생명,60200,상승 600,1.01%,500,120400,200000,13.26,6457,18.49,4.01,토론실
27,LG생활건강,766000,0,0.00%,5000,119635,15618,37.93,1073,19.41,16.65,토론실
28,두산에너빌리티,18650,상승 50,0.27%,5000,119044,638308,10.01,97947,27.96,10.67,토론실
29,SK텔레콤,53400,상승 200,0.38%,100,116857,218833,48.2,12013,7.94,13.63,토론실
30,현대중공업,131500,상승 500,0.38%,5000,116737,88773,5.76,5647,-10.66,-14.87,토론실
31,KT&G,81200,상승 500,0.62%,5000,111482,137292,39.92,12809,11.52,10.74,토론실
32,하나금융지주,37400,상승 200,0.54%,5000,110668,295903,72.31,36292,3.13,10.86,토론실
33,포스코케미칼,136000,상승 500,0.37%,500,105350,77463,6.6,16613,80.76,7.92,토론실
34,삼성전기,141000,하락 500,-0.35%,5000,105318,74694,25.77,18555,11.23,14.29,토론실
35,삼성에스디에스,133500,상승 1000,0.75%,500,103299,77378,13.27,4984,15.83,8.8,토론실
36,KT,37750,상승 150,0.40%,5000,98570,261112,45.57,21276,6.73,9.36,토론실
37,삼성화재,205000,상승 3500,1.74%,500,97118,47375,49.53,7501,9.15,7.09,토론실
38,S-Oil,86200,상승 400,0.47%,2500,97046,112583,82.47,42899,5.28,21.76,토론실
39,SK바이오사이언스,126000,상승 1500,1.20%,500,96748,76784,3.75,34983,28.27,38.08,토론실
40,카카오페이,72800,하락 1000,-1.36%,500,96481,132529,43.73,85603,-367.68,-2.45,토론실
41,대한항공,26150,하락 250,-0.95%,5000,96290,368221,13.08,474663,7.84,11.6,토론실
42,고려아연,500000,상승 19000,3.95%,5000,94350,18870,20.28,12998,12.5,11.07,토론실
43,우리금융지주,11750,0,0.00%,5000,85547,728061,39.9,26192,3.09,10.59,토론실
44,엔씨소프트,387500,상승 2000,0.52%,500,85072,21954,42.33,9728,17.54,12.62,토론실
45,LG이노텍,353000,상승 1000,0.28%,5000,83545,23667,26.44,11554,9.24,30.94,토론실
46,한화솔루션,42750,상승 950,2.27%,5000,81772,191278,20.99,183269,24.65,8.79,토론실
47,아모레퍼시픽,128000,상승 500,0.39%,500,74871,58493,25.59,7610,50.24,4.2,토론실
48,하이브,174000,상승 500,0.29%,500,71955,41353,15.17,7405,44.86,6.83,토론실
49,기업은행,9340,상승 40,0.43%,5000,69518,744301,13.56,18169,3,9.21,토론실
50,현대글로비스,179000,상승 1000,0.56%,500,67125,37500,45.32,1890,7.1,14.41,토론실
